filename,latex,split,source_image
sample_00001.png,,train,data/regions/1784015606518_step_1.png
sample_00002.png,,train,data/regions/1784015606518_step_2.png
sample_00003.png,,train,data/regions/1784015606518_step_3.png
sample_00004.png,,train,data/regions/1784015606518_step_4.png
sample_00005.png,,train,data/regions/Data_step_1.png
sample_00006.png,,train,data/regions/Data_step_10.png
sample_00007.png,,train,data/regions/Data_step_2.png
sample_00008.png,,train,data/regions/Data_step_3.png
sample_00009.png,,train,data/regions/Data_step_4.png
sample_00010.png,,train,data/regions/Data_step_5.png
sample_00011.png,,train,data/regions/Data_step_6.png
sample_00012.png,,train,data/regions/Data_step_7.png
sample_00013.png,,train,data/regions/Data_step_8.png
sample_00014.png,,train,data/regions/Data_step_9.png
sample_00015.png,,train,data/regions/Q01_FC_W01_step_1.png
sample_00016.png,,train,data/regions/Q01_FC_W01_step_2.png
sample_00017.png,,train,data/regions/Q01_FC_W01_step_3.png
sample_00018.png,,train,data/regions/Q02_FC_W02_step_1.png
sample_00019.png,,train,data/regions/Q02_FC_W02_step_2.png
sample_00020.png,,train,data/regions/string_step_1.png
sample_00021.png,,train,data/regions/string_step_2.png
